Meta:,"Description of lat long access for subspace/Obs, including startTime. t0 is s after startTime, t1 is s after t0."
Summ:,"During each time, Obs has known orbit Keplerian model and statistics."
Time,[s]
t0,t1
5156.184107825062,5210.006363824301
65877.75692439241,65933.04156405573
71833.56284722062,71887.39159173433
77812.17036542433,77871.20490549723
83800.26561742132,83856.56562202904
89768.91879893879,89821.3338959388
162414.31173340156,162472.48353480676
168402.5154263057,168460.3090419157
174378.88491062156,174431.30842457424
247017.6274904368,247074.4170702248
253003.93241823607,253062.76959432437
258986.2971101391,259039.69928104416
264937.5101490454,264993.91082891455
325661.8939085454,325715.10686193587
331622.42752313986,331677.5756636084
337605.100551706,337664.34188377694
343591.47726792266,343646.39597044874
349552.641467758,349606.10963830695
410273.96655884635,410329.8367927076
416228.88799028547,416282.4769331289
422206.58704416093,422265.52129012375
428194.8476266543,428251.41864775046
434164.9010979379,434217.2311332831
500837.0477344092,500889.55893424066
506808.8978522769,506866.8687935507
512796.91780680243,512854.9243989835
518774.420778517,518826.952959148
585446.8138371193,585499.155569866
591412.4446547262,591468.9686797713
597398.251301206,597457.2051379388
603381.4335556654,603435.063811847
